Pittsburgh,My home city,40.439709,-79.9959
Philadelphia,UPENN,39.952145,-75.193074
Preikestolen,Cliff in Norway,58.986495,6.188502
Copenhagen,Capital of Denmark,55.694904,12.582265
Stockholm,Captial of Sweden,59.385265,17.852995
